Año,Decada,PAÍS,Jugador,Goles,Equipo,Tipo de Torneo,,,,,,
2007,2000s, Argentina,Sergio Galvan,13,Atletico Nacional,Semestral,,,,,,
2007,2000s, Colombia,Dayro Moreno,16,Once Caldas,Semestral,,,,,,
2008,2000s, Argentina,Miguel Caneo,13,Boyaca Chico,Semestral,,,,,,
2008,2000s, Colombia,Ivan Velasquez,13,Deportes Quindio,Semestral,,,,,,
2008,2000s, Colombia,Freddy Montero,16,Deportivo Cali,Semestral,,,,,,
2009,2000s, Colombia,Teofilo Gutierrez,16,Junior,Semestral,,,,,,
2009,2000s, Colombia,Jackson Martínez,18,Independiente Medellin,Semestral,,,,,,
2010,2010s, Colombia,Carlos Bacca,12,Junior,Semestral,,,,,,
2010,2010s, Colombia,Carlos Renteria,12,La Equidad,Semestral,,,,,,
2010,2010s, Colombia,Wilder Medina,16,Deportes Tolima,Semestral,,,,,,
2010,2010s, Colombia,Dayro Moreno,16,Atletico Nacional,Semestral,,,,,,
2011,2010s, Colombia,Carlos Renteria,12,Atletico Nacional,Semestral,,,,,,
2011,2010s, Colombia,Carlos Bacca,12,Junior,Semestral,,,,,,
2012,2010s,Paraguay,Robin Ramirez,13,Deportes Tolima,Semestral,,,,,,
2012,2010s, Argentina,German Cano,9,Independiente Medellin,Semestral,,,,,,
2012,2010s, Colombia,Henry Hernandez,9,Cucuta Deportivo,Semestral,,,,,,
2012,2010s, Colombia,Carmelo Valencia,9,La Equidad,Semestral,,,,,,
2013,2010s, Colombia,Wilder Medina,12,Santa Fe,Semestral,,,,,,
2013,2010s, Colombia,Dayro Moreno,16,Millonarios,Semestral,,,,,,
2013,2010s, Colombia,Luis Carlos Ruiz,16,Junior,Semestral,,,,,,
2014,2010s, Colombia,Dayro Moreno,13,Millonarios,Semestral,,,Año,Equipo,Jugador,
2014,2010s, Argentina,German Cano,16,Independiente Medellin,Semestral,,,2011,12, Colombia,
2015,2010s, Colombia,Fernando Uribe,15,Millonarios,Semestral,,,,,,
2015,2010s, Colombia,Jefferson Duque,15,Atletico Nacional,Semestral,,,,,,
2016,2010s, Colombia,Miguel Borja,19,Cortulua,Semestral,,,,,,
2016,2010s, Colombia,Ayron del Valle,12,Millonarios,Semestral,,,,,,
2017,2010s, Colombia,Dayro Moreno,14,Atletico Nacional,Semestral,,,,,,
2017,2010s, Colombia,Ayron del Valle,11,Millonarios,Semestral,,,,,,
2017,2010s, Colombia,Yimmi Chara,11,Junior,Semestral,,,,,,
2017,2010s, Colombia,Dayro Moreno,11,Atletico Nacional,Semestral,,,,,,
2017,2010s, Colombia,Carmelo Valencia,11,La Equidad,Semestral,,,,,,
2018,2010s, Argentina,German Cano,12,Independiente Medellin,Semestral,,,,,,
2018,2010s, Argentina,German Cano,20,Independiente Medellin,Semestral,,,,,,
2019,2010s, Argentina,German Cano,21,Independiente Medellin,Semestral,,,,,,
2019,2010s, Argentina,German Cano,13,Independiente Medellin,Semestral,,,,,,
2019,2010s, Colombia,Michael Rangel,13,America de Cali,Semestral,,,,,,
2021,2020s, Colombia,Jefferson Duque,11,Atletico Nacional,Semestral,,,,,,
2021,2020s, Colombia,Fernando Uribe,11,Millonarios,Semestral,,,,,,
2021,2020s, Colombia,Diego Herazo,11,La Equidad,Semestral,,,,,,
2021,2020s, Colombia,Harold Preciado,13,Deportivo Cali,Semestral,,,,,,
2022,2020s, Colombia,Dayro Moreno,13,Atletico Bucaramanga,Semestral,,,,,,
2022,2020s, Colombia,Leonardo Fabio Castro,15,Deportivo Pereira,Semestral,,,,,,
2023,2020s, Colombia,Marco Perez,13,Aguilas Doradas,Semestral,,,,,,
2023,2020s, Colombia,Carlos Bacca,18,Junior,Semestral,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,…..,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Millonarios,390,,,
,,,,,,,,Otros,2112,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,….,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,…..,,,
